132333333 tensor([8640,   12, 8616], device='cuda:5') 4 5
132333333 tensor([8832,   15, 8815], device='cuda:2') 4 2
132333333 tensor([8896,   13, 8866], device='cuda:7') 4 7
132333333 tensor([8896,   13, 8866], device='cuda:6') 4 6
132333333 tensor([8832,   15, 8815], device='cuda:1') 4 1
132333333 tensor([8896,   13, 8866], device='cuda:4') 4 4
132333333 tensor([8896,   13, 8866], device='cuda:5') 4 5
132333333 tensor([8832,   15, 8815], device='cuda:0') 4 0
132333333 tensor([8832,   15, 8815], device='cuda:3') 4 3
132333333 tensor([8896,   13, 8868], device='cuda:2') 4 2
132333333 tensor([8896,   13, 8868], device='cuda:1') 4 1
132333333 tensor([8768,    8, 8730], device='cuda:5') 4 5
132333333 tensor([8768,    8, 8730], device='cuda:7') 4 7
132333333 tensor([8768,    8, 8730], device='cuda:6') 4 6
132333333 tensor([8896,   13, 8868], device='cuda:0') 4 0
132333333 tensor([8896,   13, 8868], device='cuda:3') 4 3
132333333 tensor([8768,    8, 8730], device='cuda:4') 4 4
132333333 tensor([8896,   11, 8892], device='cuda:3') 4 3
132333333 tensor([8896,   11, 8892], device='cuda:0') 4 0
132333333 tensor([8896,   11, 8892], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8869], device='cuda:7') 4 7
132333333 tensor([8896,   11, 8892], device='cuda:2') 4 2
132333333 tensor([8896,   11, 8869], device='cuda:5') 4 5
132333333 tensor([8896,   11, 8869], device='cuda:4') 4 4
132333333 tensor([8896,   11, 8869], device='cuda:6') 4 6
132333333 tensor([7680,    8, 7642], device='cuda:7') 4 7
132333333 tensor([8960,   14, 8921], device='cuda:0') 4 0
132333333 tensor([7680,    8, 7642], device='cuda:6') 4 6
132333333 tensor([7680,    8, 7642], device='cuda:5') 4 5
132333333 tensor([7680,    8, 7642], device='cuda:4') 4 4
132333333 tensor([8960,   14, 8921], device='cuda:2') 4 2
132333333 tensor([8960,   14, 8921], device='cuda:1') 4 1
132333333 tensor([8960,   14, 8921], device='cuda:3') 4 3
132333333 tensor([8960,   14, 8936], device='cuda:2') 4 2
132333333 tensor([8960,   14, 8936], device='cuda:1') 4 1
132333333 tensor([9024,   11, 8976], device='cuda:7') 4 7
132333333 tensor([9024,   11, 8976], device='cuda:6') 4 6
132333333 tensor([8960,   14, 8936], device='cuda:3') 4 3
132333333 tensor([9024,   11, 8976], device='cuda:5') 4 5
